Date,FB,TWTR,NFLX,portfolio daily worth in $,portfolio daily % return
2016-06-13,780719.041106624,112667.37847103724,656156.2439307845,1549542.6635084457,-0.8630753770358447
2016-06-14,787501.9790148257,118939.58304571352,658043.9953470662,1564485.5574076055,0.9643422056754679
2016-06-15,785172.4695471561,123585.66050843673,659232.5435786363,1567990.6736342292,0.2240427346885731
2016-06-16,783733.6786543987,122888.74888902823,667272.8243751967,1573895.2519186237,0.3765697324403757
2016-06-17,774347.222525276,124669.74524973881,660351.1624027299,1559368.1301777447,-0.9230043564316014
2016-06-20,776745.2598740752,126528.17623482806,655806.7017665395,1559080.1378754429,-0.018468525598825638
2016-06-21,783665.1507732689,126373.30698607063,636160.4325548265,1546198.890314166,-0.8262081754713491
2016-06-22,780445.0323533725,124902.04137941249,629308.7489306331,1534655.822663418,-0.746544815357005
2016-06-23,788461.1775109427,131948.60768480087,640844.8079383092,1561254.5931340526,1.7332075425532227
2016-06-24,767906.924022723,127302.53022207774,618332.0273011735,1513541.4815459743,-3.05607501799558
2016-06-27,746599.0077218508,122656.44501589208,596588.330315429,1465843.7830531718,-3.151396844709051
2016-06-28,772154.7688198658,127147.65322985785,615045.9953632323,1514348.4174129558,3.308990693316227
2016-06-29,782157.8868107242,130322.47282938531,636649.8405255667,1549130.2001656762,2.2968150758951515
2016-06-30,782980.022693164,130941.94982441509,639586.3233077204,1553508.2958252993,0.2826163778328592
2016-07-01,782363.4156427708,133807.03866989017,675872.3936091769,1592042.8479218378,2.4804857624572287
2016-07-05,782431.8955639757,132722.93844166322,684541.9481829728,1599696.7821886118,0.4807618260252854
2016-07-06,799560.440137492,133187.5616748604,661399.9007601442,1594147.9025724968,-0.3468707118684927
2016-07-07,793736.7418339143,134503.95028929866,664895.6719797173,1593136.3641029303,-0.06345323843127512
2016-07-08,803260.2126167895,140001.8008767253,678599.0951604438,1621861.1086539587,1.8030311276714097
2016-07-11,807576.6401064048,137136.71203125024,661889.3087308843,1606602.6608685395,-0.9407986728335029
2016-07-12,807987.7046219157,140156.67012548275,670978.3348764018,1619122.7096238001,0.7792871915506622
2016-07-13,800108.5672666802,137369.0236478488,674194.4374068667,1611672.0283213956,-0.4601677969260061
2016-07-14,803602.8040625133,139072.57764071823,685310.9689104817,1627986.3506137133,1.012260683664622
2016-07-15,800656.6943958685,140001.8008767253,687897.8535960508,1628556.3488686446,0.03501247137093151
2016-07-18,817853.7668505146,144415.5744663123,690834.2944289496,1653103.6357457764,1.5073035019135044
2016-07-19,826349.5112561431,141937.6664861933,600153.9750101388,1568441.1527524753,-5.121426216881232
2016-07-20,835324.8480584121,143718.6551034414,614626.523791511,1593670.0269533643,1.6085317677755693
2016-07-21,826349.5112561431,142402.2664890032,601202.7203590956,1569954.498104242,-1.4881078547018654
2016-07-22,829021.5573581937,142247.41272717062,600503.5731067234,1571772.5431920877,0.11580240637808908
2016-07-25,833337.9300364663,144415.5744663123,612878.6381817244,1590632.142684503,1.199893685260188
2016-07-26,830528.876132081,142866.88972220037,639096.9223285225,1612492.6881828038,1.3743306771989947
2016-07-27,845053.847673334,122114.40264524105,643501.5730905574,1610669.8234091322,-0.11304639004136403
2016-07-28,856427.22867582,126295.86461822948,640774.8785308328,1623497.9718248823,0.796448050948031
2016-07-29,849164.7394794849,128851.20722272721,637978.2475720894,1615994.1942743016,-0.46219814750652916
2016-08-01,851699.7366706937,128851.20722272721,659791.8809568528,1640342.8248502738,1.5067276022551825
2016-08-02,843340.9932159822,127147.65322985785,654128.6966234322,1624617.3430692723,-0.958670440274387
2016-08-03,839367.2119834333,136362.3812743879,650912.5871014249,1626642.1803592462,0.12463472082284198
2016-08-04,852042.3281164175,140388.96625515647,653289.7394969045,1645721.0338684786,1.1728979943836702
2016-08-05,857454.9550530667,141395.62411554228,678389.3558788119,1677239.935047421,1.9152031559597358
2016-08-08,858208.6110143014,140931.02411273238,664965.6083787361,1664105.2435057699,-0.7831134512832639
2016-08-09,856838.3000427487,144647.87833944848,657135.0598722652,1658621.2382544624,-0.32954678033189505
2016-08-10,855605.0379820376,147435.53256054485,656715.5813090013,1659756.1518515837,0.0684251214771466
2016-08-11,855742.100595715,153165.69476457013,670418.9974981854,1679326.7928584705,1.1791274871946817
2016-08-12,855605.0379820376,151307.26377948083,675313.0562309602,1682225.3579924786,0.17260280407212358
2016-08-15,848890.6827663085,161528.6341974718,666363.895891938,1676783.2128557183,-0.3235086851416163
2016-08-16,844779.8389200824,157966.6337325883,665035.5377862125,1667782.0104388832,-0.5368137245067734
2016-08-17,852110.8559975473,156185.63737187773,673774.9658351451,1682071.45920457,0.8567935543282655
2016-08-18,848959.2106474382,147125.78631956753,672306.7489144668,1668391.7458814727,-0.8132658840526413
2016-08-19,846561.1732986389,146970.9170708101,670279.1946155721,1663811.2849850212,-0.274543488228028
2016-08-22,850603.5372236602,143641.2204790627,666014.3467361504,1660259.1044388735,-0.2134966013396001
2016-08-23,852110.8559975473,144725.32070728965,670768.5955947698,1667604.7722996068,0.4424410527907329
2016-08-24,846013.0941293755,141318.18949116353,665455.0093579339,1652786.292978473,-0.8886085940315046
2016-08-25,848822.1480337608,141860.2318618146,680416.9101777067,1671099.290073282,1.1080075610868827
2016-08-26,856153.1651112259,141705.3548695947,682234.7251949697,1680093.2451757903,0.5382059076880932
2016-08-29,866978.418984524,143021.7434840329,680277.1003035512,1690277.262772108,0.6061578799605328
2016-08-30,862182.3922468502,142324.83186462443,681325.7897201685,1685833.013831643,-0.2629301735489438
2016-08-31,864100.8371990089,148751.9056880582,681325.7897201685,1694178.5326072355,0.4950382812010817
2016-09-01,864443.37383339,150997.5175385035,680836.3817494283,1696277.2731213218,0.12387953652419945
2016-09-02,866772.8833010596,151384.68291693466,680836.3817494283,1698993.9479674227,0.16015511668690208
2016-09-06,888834.4076032417,154327.20638678846,699783.454767972,1742945.0687580022,2.5868909564486766
2016-09-07,897878.3270979832,153862.60638397862,693211.4468244291,1744952.380306391,0.11516780329853869
2016-09-08,892534.2280424639,144802.75533166836,696777.1474514786,1734114.1308256108,-0.6211200719917158
2016-09-09,870815.1924147381,140234.1124933239,674683.8453776069,1685733.150285669,-2.789953652987521
2016-09-12,881708.9741691658,140543.84324737632,692512.299572057,1714765.1169885993,1.722216039828757
2016-09-13,871568.8552273907,137523.8928966063,671817.2850113872,1680910.033135384,-1.974327767564466
2016-09-14,875405.6355090227,140001.8008767253,678249.5460046562,1693656.9823904042,0.7583361990673214
2016-09-15,879379.5195128391,141705.3548695947,680556.7130603199,1701641.5874427538,0.4714416871520384
2016-09-16,884312.5472014296,147977.5749311959,695518.6628208898,1727808.7849535155,1.537761988415318
2016-09-19,881434.8626446469,142169.9781027919,685590.6375995899,1709195.4783470286,-1.077278155347941
2016-09-20,881366.382723442,142402.2664890032,686919.0446461127,1710687.6938585578,0.08730514036769918
2016-09-21,890273.2464559241,143176.62047625278,663357.5256515628,1696807.3925837397,-0.8113872172371972
2016-09-22,891232.444952041,144260.69747409242,669999.5259264639,1705492.6683525974,0.5118598496693579
2016-09-23,876707.4185994456,175157.12808812654,670768.5955947698,1722633.142282342,1.0050159844018174
2016-09-26,872253.9901589135,180964.7249165305,661120.2390625783,1714338.9541380224,-0.4814831400103332
2016-09-27,881708.9741691658,183674.92128286077,678669.0245679201,1744052.9200199465,1.733260847290521
2016-09-28,885408.6986885384,177789.8898300781,681535.5779425974,1744734.166461214,0.039061110672011
2016-09-29,877598.0823630148,178177.07069543414,675872.3936091769,1731647.546667626,-0.7500638231972735
2016-09-30,878831.3923836509,178486.80144948655,689016.5283524839,1746334.7221856213,0.8481619453253814
2016-10-03,882257.1012983541,185843.09850892742,717541.9795549457,1785642.1793622272,2.2508547002610575
2016-10-04,878283.2652544626,182126.23653874887,715514.4252560509,1775923.9270492624,-0.5442441058620043
2016-10-05,880201.6553952786,192579.91857333848,743061.1234409142,1815842.697409531,2.24777479216661
2016-10-06,882051.5656148896,153862.60638397862,734601.3640810896,1770515.5360799578,-2.4962052822216743
2016-10-07,883764.4200722413,153707.72939175874,732853.4784713031,1770325.6279353031,-0.010726149575347737
2016-10-10,892328.6923589995,135975.19266556943,722436.0942200603,1750739.9792446294,-1.1063302921009015
2016-10-11,883010.7641110067,139382.32388169554,703279.2259875451,1725672.3139802474,-1.4318325714591649
2016-10-12,884175.4914391702,139769.48926012672,695658.4726950454,1719603.4533943422,-0.35168093830672725
2016-10-13,875748.2269547465,137756.2045132049,700762.3196502493,1714266.7511182008,-0.3103449382825566
2016-10-14,876159.2914702574,130709.63820781648,709431.8182917059,1716300.74796978,0.11865112884283005
2016-10-17,873829.8368139305,129548.12658559813,697755.9564014167,1701133.9198009453,-0.8836929184337576
2016-10-18,880886.8382867263,130322.47282938531,830525.3333377178,1841734.6444538294,8.265117932004799
2016-10-19,891437.9806355054,132180.90381447462,852059.298033373,1875678.182483353,1.8430200100617424
2016-10-20,890684.3178228529,130864.51520003636,862406.7458855971,1883955.5789084863,0.44130152509287407
2016-10-21,904866.8006896492,140079.235501104,891421.6609911387,1936367.6971818919,2.782025163447419
2016-10-24,913156.9614518886,139614.63549829414,890233.1127595686,1943004.7097097514,0.3427557967176774
2016-10-25,906374.0166922689,133652.1616776703,884500.0479594688,1924526.2263294081,-0.9510261754900038
2016-10-26,897809.7444055106,133884.4732942689,887716.1504899336,1919410.368189713,-0.265824288061403
2016-10-27,888560.3919985724,134736.24641897235,884220.3792703605,1907517.017687905,-0.6196356286761676
2016-10-28,899522.5988628623,136749.5466528191,884919.5265227327,1921191.672038414,0.716882430075719
